x_min	y_min	x_max	y_max	object_count	assess
0	0	255	140	4621672	1.6666666666667
0	141	54	255	6651509	1.6666666666667
55	141	104	152	3139475	1.6666666666667
105	141	152	165	6179185	1.3333333333333
153	141	255	255	8176992	1
55	153	66	163	4064943	1.3333333333333
67	153	77	163	6829761	1.3333333333333
78	153	104	179	814936	1
55	164	77	179	1917042	1
105	166	129	179	3697022	1
130	166	137	173	9181799	1.3333333333333
138	166	142	173	1837377	1.6666666666667
143	166	152	179	841460	1.3333333333333
130	174	142	179	862189	1
55	180	104	255	66452	2
105	180	152	255	1317168	0.66666666666667
