x_min	y_min	x_max	y_max	object_count	assess
0	0	255	140	4621672	1.6666666666667
0	141	54	164	4433739	1.6666666666667
55	141	104	152	3139475	1.6666666666667
105	141	140	165	5091428	1
141	141	152	165	1087757	1.3333333333333
153	141	193	166	1240603	1
194	141	217	166	422184	2
218	141	255	166	5037613	1.3333333333333
55	153	66	163	4064943	1.3333333333333
67	153	77	157	2895657	1
78	153	104	179	814936	1
67	158	77	163	3934104	1
55	164	77	179	1917042	1
0	165	54	179	2003781	2
105	166	129	179	3697022	1
130	166	137	169	4614020	1.3333333333333
138	166	142	173	1837377	1.6666666666667
143	166	152	179	841460	1.3333333333333
153	167	255	255	1476592	1.6666666666667
130	170	137	173	4567779	1.3333333333333
130	174	142	179	862189	1
0	180	54	255	213989	2
55	180	104	255	66452	2
105	180	152	255	1317168	0.66666666666667
