boundary	object_count
ST_MakeEnvelope(-20037508.34, -20037508.34, 20037508.34, 2035059.4407813, 900913)	4621672
ST_MakeEnvelope(-20037508.34, 2035059.4407813, -11427641.475156, 20037508.34, 900913)	6651509
ST_MakeEnvelope(-11427641.475156, 2035059.4407813, -3600489.7798437, 20037508.34, 900913)	16832609
ST_MakeEnvelope(-3600489.7798437, 2035059.4407813, 3913575.8476562, 5948635.2884375, 900913)	6179185
ST_MakeEnvelope(3913575.8476562, 2035059.4407813, 20037508.34, 20037508.34, 900913)	8176992
ST_MakeEnvelope(-3600489.7798437, 5948635.2884375, 313086.0678125, 8140237.763125, 900913)	3697022
ST_MakeEnvelope(313086.0678125, 5948635.2884375, 3913575.8476562, 8140237.763125, 900913)	12722825
ST_MakeEnvelope(-3600489.7798437, 8140237.763125, 3913575.8476562, 20037508.34, 900913)	1317168
